ABACUF01_FSR,0.635073
ABAFUH_FSR,2.193039
ABALOF_FSR,1.134232
ABAXUZ_FSR,1.973007
ABAYEI_FSR,2.528225
ABAYIM_FSR,1.221965
ABAYOS_FSR,1.371715
ABECAM_FSR,2.74894
ABENAY_FSR,1.668096
ABEREH_FSR,0.747437
ABEWUB_FSR,2.136836
ABEXEM_FSR,1.93495
ABEXOW_FSR,1.899581
ABEXUC_FSR,1.916827
ABEXUD_FSR,0.089832
ABEYAJ_FSR,1.911096
ABEYEN_FSR,1.916479
ABEYIR_FSR,1.928707
ABEYOX_FSR,2.457655
ABIFAT_FSR,0.967424
ABIGEZ_FSR,0.466969
ABIQAE_FSR,2.047996
ABITUA_FSR,1.911832
ABIVOY_FSR,3.083551
ABIWAL_FSR,2.679965
ABIWEP_FSR,4.536496
ABIWUF_FSR,2.786405
ABIXAL01_FSR,2.556921
ABIXAM_FSR,2.847376
ABOTUJ_FSR,0.954857
ABOVOF_FSR,0.644481
ABOVUL_FSR,0.514632
ABPENC_FSR,3.353651
ABPZCU01_FSR,1.005931
ABUSOG_FSR,0.288117
ABUXUT_FSR,0.580857
ABXALA01_FSR,3.646966
ABZCUH01_FSR,3.112947
ABZCUH05_FSR,3.053996
ACAFIT_FSR,1.330433
ACAFOZ_FSR,1.510856
ACAJOF_FSR,0.392395
ACAKEX_FSR,0.752596
ACATAB_FSR,0.623449
ACATIJ_FSR,1.407161
ACAZAG_FSR,3.13924
ACAZEK_FSR,2.591703
ACEGIA_FSR,3.809101
ACEGOG_FSR,3.61033
ACEKIE_FSR,3.352066
ACEKOK_FSR,2.810681
ACENIF_FSR,3.157609
ACETCO_FSR,0.508877
ACIGAX_FSR,2.578581
ACIGEB_FSR,2.456067
ACIJAX_FSR,0.686774
ACIKAA_FSR,3.76444
ACIPEJ_FSR,1.060328
ACIRIP_FSR,3.54529
ACIROV_FSR,3.239596
ACISEM_FSR,0.653874
ACISIQ_FSR,0.785214
ACISOW_FSR,3.874001
ACITAK_FSR,2.44062
ACIWUF_FSR,2.431973
ACIXAM_FSR,2.218631
ACIZIX_FSR,3.39742
ACODAA_FSR,0.042582
ACOHAE_FSR,3.427419
ACOHEF_FSR,2.509511
ACOHUW_FSR,1.480617
ACOLIP_FSR,2.690086
ACOMOX_FSR,2.840559
ACOVEU_FSR,0.441175
ACOYEY_FSR,2.905189
ACRNCU_FSR,1.391934
ACUBOP01_FSR,3.002738
ACUBOP_FSR,3.083074
ACUFEL_FSR,2.463934
ACUFIO_FSR,3.116747
ACUFOU_FSR,3.140342
ACUFOV_FSR,4.335031
ACUFUA_FSR,2.82847
ACUFUB_FSR,1.598353
ACUGAH_FSR,3.005803
ACUGEL_FSR,3.319757
ADABAK_FSR,0.732904
ADABEO_FSR,0.727572
ADABUE_FSR,0.710393
ADACUE01_FSR,3.188529
ADACUE_FSR,3.173462
ADADEP_FSR,1.114999
ADAPAX_FSR,2.793043
ADAQII_FSR,2.930454
ADAVEJ01_FSR,3.418797
ADAXOV_FSR,0.777583
ADEGAU_FSR,0.497469
ADEGIA01_FSR,3.381991
ADETEL_FSR,2.931752
ADEZUH_FSR,4.18309
ADICIA_FSR,0.716066
ADILIJ01_FSR,3.334302
